opening_name,side,num_games,ECO,last_played_date,perf_rating,avg_player,perc_player_win,perc_draw,pec_opponent_win,moves_list,move1w,move1b,move2w,move2b,move3w,move3b,move4w,move4b,perc_white_win,perc_black_win,white_odds,white_wins,black_wins
"Queen Pawn Game, Levitsky Attack",white,4286,D00,7/1/18,2237,2220,42.8,29.8,27.4,"['1.d4', 'd5', '2.Bg5']",d4,d5,Bg5,,,,,,42.8,27.4,1.562043796,1834.408,1174.364
"Queen Pawn Game, Levitsky Attack, Euwe Variation, Modern Line",black,331,D00,5/4/18,2321,2343,24.8,41.7,33.5,"['1.d4', 'd5', '2.Bg5', 'h6', '3.Bh4', 'c6', '4.Nf3', 'Qb6']",d4,d5,Bg5,h6,Bh4,c6,Nf3,Qb6,33.5,24.8,1.350806452,110.885,82.088
"Queen Pawn Game, London System",white,11614,D02,7/9/18,2098,2074,35.6,31.1,33.3,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.Bf4']",d4,d5,Nf3,Nf6,Bf4,,,,35.6,33.3,1.069069069,4134.584,3867.462
"Queen Pawn Game, Mason Attack",white,433,D00,6/2/18,1906,1902,31.2,21,47.8,"['1.d4', 'd5', '2.f4']",d4,d5,f4,,,,,,31.2,47.8,0.652719665,135.096,206.974
"Queen Pawn Game, Queen Fianchetto",black,1597,A40,7/3/18,2069,2115,30.4,22.9,46.6,"['1.d4', 'b6']",d4,b6,,,,,,,46.6,30.4,1.532894737,744.202,485.488
"Queen Pawn Game, Sarratt Attack",white,7142,D00,7/9/18,2127,2107,42.9,28.4,28.7,"['1.d4', 'd5', '2.Bf4']",d4,d5,Bf4,,,,,,42.9,28.7,1.494773519,3063.918,2049.754
"Queen Pawn Game, Steinitz Countergambit",black,1035,D00,7/8/18,2247,2263,37.7,30.8,31.5,"['1.d4', 'd5', '2.Bf4', 'c5']",d4,d5,Bf4,c5,,,,,31.5,37.7,0.835543767,326.025,390.195
"Queen Pawn Game, Stonewall Attack",white,1586,D00,6/29/18,2013,1997,38.1,22.3,39.6,"['1.d4', 'd5', '2.e3', 'Nf6', '3.Bd3']",d4,d5,e3,Nf6,Bd3,,,,38.1,39.6,0.962121212,604.266,628.056
"Queen Pawn Game, Symmetrical Variation",black,9285,D02,7/8/18,2193,2213,26.9,34.6,38.4,"['1.d4', 'd5', '2.Nf3', 'Nf6']",d4,d5,Nf3,Nf6,,,,,38.4,26.9,1.427509294,3565.44,2497.665
"Queen Pawn Game, Symmetrical Variation, Pseudo-Catalan",white,5976,D02,7/7/18,2121,2116,32.1,33.6,34.3,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.g3']",d4,d5,Nf3,Nf6,g3,,,,32.1,34.3,0.935860058,1918.296,2049.768
"Queen Pawn Game, Torre Attack",white,2839,D03,6/30/18,2113,2079,41.5,30.9,27.6,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.Bg5']",d4,d5,Nf3,Nf6,Bg5,,,,41.5,27.6,1.503623188,1178.185,783.564
"Queen Pawn Game, Torre Attack, Gossip Variation",black,1637,D03,6/16/18,2207,2211,39.8,31.9,28.3,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.Bg5', 'Ne4']",d4,d5,Nf3,Nf6,Bg5,Ne4,,,28.3,39.8,0.711055276,463.271,651.526
"Queen Pawn Game, Torre Attack, Gruenfeld Variation",black,138,D03,12/17/17,2161,2140,33.3,28.3,38.4,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.Bg5', 'g6']",d4,d5,Nf3,Nf6,Bg5,g6,,,38.4,33.3,1.153153153,52.992,45.954
"Queen Pawn Game, Torre Attack, Gruenfeld Variation, Main Line",black,1997,D03,6/29/18,2271,2294,26.9,38.4,34.7,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.Bg5', 'g6', '4.e3', 'Bg7', '5.Nbd2', 'O-O']",d4,d5,Nf3,Nf6,Bg5,g6,e3,Bg7,34.7,26.9,1.289962825,692.959,537.193
"Queen Pawn Game, Veresov Atack, Alburt Defense",black,462,D00,5/6/18,2151,2146,35.5,29.9,34.6,"['1.d4', 'd5', '2.Nc3', 'Bf5']",d4,d5,Nc3,Bf5,,,,,34.6,35.5,0.974647887,159.852,164.01
"Queen Pawn Game, Veresov Atack, Boyce Defense",black,124,D01,5/29/18,2039,2092,25,18.6,56.5,"['1.d4', 'd5', '2.Nc3', 'Nf6', '3.Bg5', 'Ne4']",d4,d5,Nc3,Nf6,Bg5,Ne4,,,56.5,25,2.26,70.06,31
"Queen Pawn Game, Veresov Atack, Classical Defense",white,361,D01,6/30/18,2049,2070,34.9,25.5,39.6,"['1.d4', 'd5', '2.Nc3', 'Nf6', '3.Bg5', 'e6', '4.Nf3']",d4,d5,Nc3,Nf6,Bg5,e6,Nf3,,34.9,39.6,0.881313131,125.989,142.956
"Queen Pawn Game, Veresov Atack, Dutch System",black,1623,A80,6/6/18,2259,2301,27.8,30.7,41.5,"['1.d4', 'd5', '2.Nc3', 'f5']",d4,d5,Nc3,f5,,,,,41.5,27.8,1.492805755,673.545,451.194
"Queen Pawn Game, Veresov Atack, Richter Variation",white,699,D01,5/18/18,2177,2177,41.1,23.9,35,"['1.d4', 'd5', '2.Nc3', 'Nf6', '3.Bg5', 'Bf5', '4.f3']",d4,d5,Nc3,Nf6,Bg5,Bf5,f3,,41.1,35,1.174285714,287.289,244.65
"Queen Pawn Game, Veresov Atack, Veresov Variation",white,427,D01,6/27/18,2260,2235,40.5,31.6,27.9,"['1.d4', 'd5', '2.Nc3', 'Nf6', '3.Bg5', 'Bf5', '4.Bxf6']",d4,d5,Nc3,Nf6,Bg5,Bf5,Bxf6,,40.5,27.9,1.451612903,172.935,119.133
"Queen Pawn Game, Veresov Attack",white,2199,D00,7/7/18,2122,2121,37.3,25.1,37.6,"['1.d4', 'd5', '2.Nc3']",d4,d5,Nc3,,,,,,37.3,37.6,0.992021277,820.227,826.824
"Queen Pawn Game, Veresov Attack, Two Knights System",white,883,D01,5/11/18,2253,2226,32.6,31.7,35.7,"['1.d4', 'd5', '2.Nc3', 'Nf6', '3.Bg5', 'Nbd7', '4.Nf3']",d4,d5,Nc3,Nf6,Bg5,Nbd7,Nf3,,32.6,35.7,0.913165266,287.858,315.231
"Queen Pawn Game, Veresov Attack, Two Knights System, Gruenfeld Defense",black,392,D01,5/26/18,2295,2274,39,33.7,27.3,"['1.d4', 'd5', '2.Nc3', 'Nf6', '3.Bg5', 'Nbd7', '4.Nf3', 'g6']",d4,d5,Nc3,Nf6,Bg5,Nbd7,Nf3,g6,27.3,39,0.7,107.016,152.88
"Queen Pawn Game, Zukertort Variation",white,12277,D02,7/7/18,2157,2138,37.5,30.9,31.6,"['1.d4', 'd5', '2.Nf3']",d4,d5,Nf3,,,,,,37.5,31.6,1.186708861,4603.875,3879.532
"Queen Pawn Opening, General",white,1232,A40,6/26/18,2140,2107,46.9,24.2,28.9,['1.d4'],d4,,,,,,,,46.9,28.9,1.62283737,577.808,356.048
"Queen's Gambit Accepted, Accelerated Mannheim Variation",white,151,D20,6/29/18,2063,2071,28.5,26.5,45,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Qa4+']",d4,d5,c4,dxc4,Qa4+,,,,28.5,45,0.633333333,43.035,67.95
"Queen's Gambit Accepted, Alekhine Defense",black,1067,D22,7/7/18,2342,2364,30.6,37.7,31.8,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'a6']",d4,d5,c4,dxc4,Nf3,a6,,,31.8,30.6,1.039215686,339.306,326.502
"Queen's Gambit Accepted, Alekhine Defense, Borisenko-Furman Variation",white,122,D21,12/16/17,2409,2364,36.1,33.6,30.3,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'a6', '4.e4']",d4,d5,c4,dxc4,Nf3,a6,e4,,36.1,30.3,1.191419142,44.042,36.966
"Queen's Gambit Accepted, Alekhine Defense, Haberditz Variation",black,322,D22,5/22/18,2372,2397,7.5,64.9,27.6,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'a6', '4.e3', 'b5']",d4,d5,c4,dxc4,Nf3,a6,e3,b5,27.6,7.5,3.68,88.872,24.15
"Queen's Gambit Accepted, Bogoljubow Defense",white,682,D24,5/25/18,2431,2409,43.1,28.9,28,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.Nc3', 'a6', '5.e4']",d4,d5,c4,dxc4,Nf3,Nf6,Nc3,a6,43.1,28,1.539285714,293.942,190.96
"Queen's Gambit Accepted, Central Variation, Alekhine System",black,1482,D20,7/8/18,2333,2372,25.5,33.3,41.2,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4', 'Nf6']",d4,d5,c4,dxc4,e4,Nf6,,,41.2,25.5,1.615686275,610.584,377.91
"Queen's Gambit Accepted, Central Variation, Greco Variation",black,204,D20,7/2/18,2297,2286,33.8,26,40.2,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4', 'b5']",d4,d5,c4,dxc4,e4,b5,,,40.2,33.8,1.189349112,82.008,68.952
"Queen's Gambit Accepted, Central Variation, McDonnell Defense",black,1911,D20,7/6/18,2289,2314,24.5,34,41.5,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4', 'e5']",d4,d5,c4,dxc4,e4,e5,,,41.5,24.5,1.693877551,793.065,468.195
"Queen's Gambit Accepted, Central Variation, Modern Defense",black,907,D20,6/17/18,2336,2358,30.2,27.8,42,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4', 'Nc6']",d4,d5,c4,dxc4,e4,Nc6,,,42,30.2,1.390728477,380.94,273.914
"Queen's Gambit Accepted, Central Variation, Rubinstein Defense",black,393,D20,6/29/18,2256,2311,18.6,37.4,44,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4', 'c5']",d4,d5,c4,dxc4,e4,c5,,,44,18.6,2.365591398,172.92,73.098
"Queen's Gambit Accepted, Classical Defense",black,897,D26,6/30/18,2324,2368,18.3,45,36.7,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,36.7,18.3,2.005464481,329.199,164.151
"Queen's Gambit Accepted, Classical Defense, Alekhine System",white,362,D28,5/8/18,2420,2383,41.4,37.6,21,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6', '7.Qe2']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,41.4,21,1.971428571,149.868,76.02
"Queen's Gambit Accepted, Classical Defense, Alekhine System, Except Main Line",black,434,D28,6/24/18,2324,2348,25.8,36.4,37.8,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6', '7.Qe2', 'b5']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,37.8,25.8,1.465116279,164.052,111.972
"Queen's Gambit Accepted, Classical Defense, Alekhine System, Main Line",black,781,D29,7/2/18,2381,2380,31.6,36.9,31.5,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6', '7.Qe2', 'b5', '8.Bb3', 'Bb7']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,31.5,31.6,0.996835443,246.015,246.796
"Queen's Gambit Accepted, Classical Defense, Main Lines",black,4210,D27,7/9/18,2346,2386,16.7,47.5,35.8,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,35.8,16.7,2.143712575,1507.18,703.07
"Queen's Gambit Accepted, Classical Defense, Normal Lines",white,126,D26,5/6/18,2356,2261,61.9,30.9,7.1,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,61.9,7.1,8.718309859,77.994,8.946
"Queen's Gambit Accepted, Classical Defense, Rubinstein Variation",white,2349,D27,6/29/18,2366,2336,33.4,43.1,23.5,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6', '7.a4']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,33.4,23.5,1.421276596,784.566,552.015
"Queen's Gambit Accepted, Classical Defense, Russian Gambit",white,162,D27,6/21/18,2475,2423,42,38.3,19.8,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6', '7.e4']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,42,19.8,2.121212121,68.04,32.076
"Queen's Gambit Accepted, Classical Defense, Steinitz Variation, Development Variation",black,842,D26,7/4/18,2257,2311,17.1,42.2,40.7,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'Nc6']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,40.7,17.1,2.380116959,342.694,143.982
"Queen's Gambit Accepted, Classical Defense, Steinitz Variation, Exchange Variation",black,185,D26,6/20/18,2192,2258,12.4,40,47.6,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'cxd4']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,47.6,12.4,3.838709677,88.06,22.94
"Queen's Gambit Accepted, Deferred",black,264,D25,6/19/18,2160,2203,34.1,29.9,36,"['1.d4', 'd5', '2.Nf3', 'Nf6', '3.c4', 'dxc4']",d4,d5,Nf3,Nf6,c4,dxc4,,,36,34.1,1.055718475,95.04,90.024
"Queen's Gambit Accepted, Furman Variation",black,776,D27,6/20/18,2399,2434,14.4,66.2,19.3,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6', '5.Bxc4', 'c5', '6.O-O', 'a6', '7.dxc5', 'Bxc5']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,19.3,14.4,1.340277778,149.768,111.744
"Queen's Gambit Accepted, General",black,1386,D20,6/7/18,2028,2065,40.9,23.7,35.4,"['1.d4', 'd5', '2.c4', 'dxc4']",d4,d5,c4,dxc4,,,,,35.4,40.9,0.865525672,490.644,566.874
"Queen's Gambit Accepted, Gunsberg Defense",black,981,D21,6/24/18,2335,2365,24.8,42.5,32.7,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'c5']",d4,d5,c4,dxc4,Nf3,c5,,,32.7,24.8,1.318548387,320.787,243.288
"Queen's Gambit Accepted, Gunsberg Defense, Prianishenmo Gambit",white,315,D24,6/23/18,2478,2421,41.6,41.6,16.8,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nc3', 'c5', '4.d5', 'Nf6', '5.Nf3', 'e6', '6.e4', 'exd5', '7.e5']",d4,d5,c4,dxc4,Nc3,c5,d5,Nf6,41.6,16.8,2.476190476,131.04,52.92
"Queen's Gambit Accepted, Janowski-Larsen Variation",black,2149,D25,6/30/18,2288,2328,23.6,39.5,37,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'Bg4']",d4,d5,c4,dxc4,Nf3,Nf6,e3,Bg4,37,23.6,1.56779661,795.13,507.164
"Queen's Gambit Accepted, Linares Variation",black,169,D20,10/20/17,2343,2366,33.7,21.3,45,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4', 'c5', '4.d5', 'Nf6', '5.Nc3', 'b5']",d4,d5,c4,dxc4,e4,c5,d5,Nf6,45,33.7,1.335311573,76.05,56.953
"Queen's Gambit Accepted, Mannheim Variation",white,951,D23,6/27/18,2368,2345,38.6,36.9,24.5,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.Qa4+']",d4,d5,c4,dxc4,Nf3,Nf6,Qa,,38.6,24.5,1.575510204,367.086,232.995
"Queen's Gambit Accepted, Normal Variation",white,369,D21,7/4/18,2341,2286,37.9,29,33.1,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3']",d4,d5,c4,dxc4,Nf3,,,,37.9,33.1,1.145015106,139.851,122.139
"Queen's Gambit Accepted, Normal Variation",white,816,D25,6/21/18,2344,2295,37.1,34.8,28.1,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3']",d4,d5,c4,dxc4,Nf3,Nf6,e3,,37.1,28.1,1.320284698,302.736,229.296
"Queen's Gambit Accepted, Normal Variation, Traditional System",black,930,D26,6/27/18,2220,2276,24.9,33.4,41.6,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'e6']",d4,d5,c4,dxc4,Nf3,Nf6,e3,e6,41.6,24.9,1.670682731,386.88,231.57
"Queen's Gambit Accepted, Old Variation",white,2835,D20,7/6/18,2315,2265,40.9,34.6,24.5,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e3']",d4,d5,c4,dxc4,e3,,,,40.9,24.5,1.669387755,1159.515,694.575
"Queen's Gambit Accepted, Rosenthal Variation",black,551,D21,6/15/18,2304,2338,27.8,34.3,37.9,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'e6']",d4,d5,c4,dxc4,Nf3,e6,,,37.9,27.8,1.363309353,208.829,153.178
"Queen's Gambit Accepted, Saduleto Variation",white,124,D20,6/20/18,2044,1942,69.3,14.5,16.1,"['1.d4', 'd5', '2.c4', 'dxc4', '3.e4']",d4,d5,c4,dxc4,e4,,,,69.3,16.1,4.304347826,85.932,19.964
"Queen's Gambit Accepted, Showalter Variation",white,1094,D24,6/22/18,2241,2221,36.2,28,35.8,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.Nc3']",d4,d5,c4,dxc4,Nf3,Nf6,Nc3,,36.2,35.8,1.011173184,396.028,391.652
"Queen's Gambit Accepted, Smyslov Variation",black,402,D25,5/22/18,2312,2390,23.6,37.3,39,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'g6']",d4,d5,c4,dxc4,Nf3,Nf6,e3,g6,39,23.6,1.652542373,156.78,94.872
"Queen's Gambit Accepted, Winawer Defense",black,195,D25,3/31/18,2268,2339,22.1,38.5,39.5,"['1.d4', 'd5', '2.c4', 'dxc4', '3.Nf3', 'Nf6', '4.e3', 'Be6']",d4,d5,c4,dxc4,Nf3,Nf6,e3,Be6,39.5,22.1,1.787330317,77.025,43.095
"Queen's Gambit Declined, Anti-Tartakower Variation",white,866,D55,6/3/18,2396,2381,39.8,39.3,20.9,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Bg5', 'Be7', '5.e3', 'O-O', '6.Nf3', 'h6', '7.Bxf6']",d4,d5,c4,e6,Nc3,Nf6,Bg5,Be7,39.8,20.9,1.90430622,344.668,180.994
"Queen's Gambit Declined, Anti-Tartakower Variation, Petrosian Variation",white,606,D55,6/23/18,2503,2447,24.3,68.2,7.6,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Bg5', 'Be7', '5.e3', 'O-O', '6.Nf3', 'h6', '7.Bxf6', 'Bxf6', '8.Rc1', 'c6', '9.Bd3', 'Nd7', '10.O-O', 'dxc4', '11.Bxc4']",d4,d5,c4,e6,Nc3,Nf6,Bg5,Be7,24.3,7.6,3.197368421,147.258,46.056
"Queen's Gambit Declined, Barmen Variation",black,3934,D37,7/5/18,2257,2304,22.1,36.9,41,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Nbd7']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Nbd7,41,22.1,1.85520362,1612.94,869.414
"Queen's Gambit Declined, Cambridge Springs Variation",black,4383,D52,7/7/18,2191,2227,27.4,33.3,39.4,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Bg5', 'Nbd7', '5.Nf3', 'c6', '6.e3', 'Qa5']",d4,d5,c4,e6,Nc3,Nf6,Bg5,Nbd7,39.4,27.4,1.437956204,1726.902,1200.942
"Queen's Gambit Declined, Capablanca - General",black,706,D30,6/9/18,2389,2413,31.2,37.8,31,"['1.d4', 'd5', '2.c4', 'e6', '3.Nf3', 'Nf6', '4.Bg5', 'h6']",d4,d5,c4,e6,Nf3,Nf6,Bg5,h6,31,31.2,0.993589744,218.86,220.272
"Queen's Gambit Declined, Capablanca Variation",white,163,D30,6/20/18,2441,2386,47.2,33.7,19,"['1.d4', 'd5', '2.c4', 'e6', '3.Nf3', 'Nf6', '4.Bg5', 'Nbd7', '5.e3', 'c6', '6.Nbd2']",d4,d5,c4,e6,Nf3,Nf6,Bg5,Nbd7,47.2,19,2.484210526,76.936,30.97
"Queen's Gambit Declined, Charousek (Petrosian) Variation",black,5019,D31,7/9/18,2282,2319,21.2,39,39.8,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Be7']",d4,d5,c4,e6,Nc3,Be7,,,39.8,21.2,1.877358491,1997.562,1064.028
"Queen's Gambit Declined, Exchange Variation",white,1459,D35,7/6/18,2233,2199,43,34.6,22.3,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.cxd5']",d4,d5,c4,e6,Nc3,Nf6,cxd5,,43,22.3,1.928251121,627.37,325.357
"Queen's Gambit Declined, Exchange Variation, Positional Variation",black,3341,D35,7/9/18,2229,2272,19.6,39.4,41,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.cxd5', 'exd5', '5.Bg5', 'c6']",d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,41,19.6,2.091836735,1369.81,654.836
"Queen's Gambit Declined, Exchange Variation, Positional Variation",white,10954,D35,7/6/18,2256,2217,52.1,28.9,19,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.cxd5', 'exd5', '5.Bg5']",d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,52.1,19,2.742105263,5707.034,2081.26
"Queen's Gambit Declined, Exchange Variation, Reshevsky Variation",white,1911,D36,7/4/18,2305,2257,45.6,31.4,22.9,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.cxd5', 'exd5', '5.Bg5', 'c6', '6.Qc2']",d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,45.6,22.9,1.991266376,871.416,437.619
"Queen's Gambit Declined, Exchange Variation, Saemisch Variation",white,618,D35,7/1/18,2482,2432,44.2,36.6,19.3,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.cxd5', 'exd5', '5.Nf3', 'Nbd7', '6.Bf4']",d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,44.2,19.3,2.29015544,273.156,119.274
"Queen's Gambit Declined, General",black,10544,D30,7/9/18,2176,2205,25.5,33.2,41.3,"['1.d4', 'd5', '2.c4', 'e6']",d4,d5,c4,e6,,,,,41.3,25.5,1.619607843,4354.672,2688.72
"Queen's Gambit Declined, Harrwitz Attack",white,2510,D37,7/1/18,2324,2304,48.6,32.5,18.8,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,48.6,18.8,2.585106383,1219.86,471.88
"Queen's Gambit Declined, Harrwitz Attack",white,521,D35,6/27/18,2065,2023,47.8,27.3,24.9,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Bf4']",d4,d5,c4,e6,Nc3,Nf6,Bf4,,47.8,24.9,1.919678715,249.038,129.729
"Queen's Gambit Declined, Harrwitz Attack, Fianchetto Defense",black,1226,D37,7/7/18,2220,2269,15.3,39.1,45.5,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'b6']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,45.5,15.3,2.973856209,557.83,187.578
"Queen's Gambit Declined, Harrwitz Attack, Main Line",black,1818,D37,7/8/18,2356,2402,13,47.3,39.7,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'c5', '7.dxc5', 'Bxc5']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,39.7,13,3.053846154,721.746,236.34
"Queen's Gambit Declined, Harrwitz Attack, Main Line, New Main Line",white,325,D37,6/20/18,2495,2459,43.1,33.9,23.1,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'c5', '7.dxc5', 'Bxc5', '8.Qc2', 'Nc6', '9.a3', 'Qa5', '10.O-O-O']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,43.1,23.1,1.865800866,140.075,75.075
"Queen's Gambit Declined, Harrwitz Attack, Main Line, Old Main Line",white,406,D37,6/20/18,2505,2458,39.7,42.4,18,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'c5', '7.dxc5', 'Bxc5', '8.Qc2', 'Nc6', '9.a3', 'Qa5', '10.Rd1']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,39.7,18,2.205555556,161.182,73.08
"Queen's Gambit Declined, Harrwitz Attack, Orthodox Defense",black,1047,D37,7/2/18,2091,2117,17.1,25.4,57.5,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'c6']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,57.5,17.1,3.362573099,602.025,179.037
"Queen's Gambit Declined, Harrwitz Attack, Two Knights Defense",black,1272,D37,7/6/18,2380,2402,18.3,47.5,34.2,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'Nbd7']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,34.2,18.3,1.868852459,435.024,232.776
"Queen's Gambit Declined, Harrwitz Attack, Two Knights Defense, Blockade Line",white,684,D37,7/7/18,2534,2492,37,48.1,14.9,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'Nf6', '4.Nf3', 'Be7', '5.Bf4', 'O-O', '6.e3', 'Nbd7', '7.c5']",d4,d5,c4,e6,Nc3,Nf6,Nf3,Be7,37,14.9,2.483221477,253.08,101.916
"Queen's Gambit Declined, Hastings Variation",white,475,D30,7/4/18,2506,2455,37.7,41.5,20.8,"['1.d4', 'd5', '2.c4', 'e6', '3.Nf3', 'Nf6', '4.Bg5', 'h6', '5.Bxf6', 'Qxf6', '6.Nc3', 'c6', '7.Qb3']",d4,d5,c4,e6,Nf3,Nf6,Bg5,h6,37.7,20.8,1.8125,179.075,98.8
"Queen's Gambit Declined, Janowski Variation",black,553,D31,7/5/18,2357,2400,28.6,39.8,31.6,"['1.d4', 'd5', '2.c4', 'e6', '3.Nc3', 'a6']",d4,d5,c4,e6,Nc3,a6,,,31.6,28.6,1.104895105,174.748,158.158
